林州,HA,LZH,113.8348,36.0614,336,100,BBVS-60,EDAS-24IP
平顶山,HA,PDS,113.298,33.7116,107,100,BBVS-60,EDAS-24IP
濮阳,HA,PY,115.01,35.77,73,100,FSS-3(1s),EDAS-24IP
清丰,HA,QF,115.15,35.9,74,100,FSS-3DBH(2s),EDAS-24IP
商城,HA,SC,115.418,31.7905,124,100,CMG-3ESPC,EDAS-24IP
商丘,HA,SQ,115.64,34.46,54,100,FSS-3DBH(2s),EDAS-24IP
许昌,HA,XC,113.8381,34.0304,66,100,FSS-3DBH(2s),EDAS-24IP
浚县,HA,XX,114.539,35.6618,86,100,BBVS-60,EDAS-24IP
延津,HA,YJ,114.1833,35.15,57,100,FSS-3DBH(2s),EDAS-24IP
周口,HA,ZK,114.64,33.66,64,100,FSS-3DBH(2s),EDAS-24IP
驻马店,HA,ZMD,113.745,33.1334,159,100,BBVS-60,EDAS-24IP
恩施台,HB,ENS,109.4951,30.2763,457,100,CTS-1,EDAS-24IP
麻城台,HB,MCH,115.1551,31.1315,95,100,CTS-1,EDAS-24L
十堰台,HB,SYA,110.7186,32.5968,662,100,KS-2000(120s),Smart-24
武汉台,HB,WHN,114.3538,30.5429,36,100,JCZ-1,EDAS-24IP
钟祥台,HB,ZHX,112.7273,31.1724,64,100,CTS-1,EDAS-24L
丹江台,HB,DJI,111.5254,32.5527,122,100,BBVS-120,EDAS-24IP
大悟台,HB,DWU,114.12,31.4986,60,100,BBVS-60,EDAS-24IP
房县台,HB,FXI,110.724,31.9381,815,100,BBVS-60,EDAS-24IP
鹤峰台,HB,HFE,110.0213,29.9036,740,100,BBVS-60,EDAS-24IP
黄梅台,HB,HME,115.894,30.135,69,100,BBVS-60,EDAS-24IP
荆门台,HB,JME,112.1688,31.1191,152,100,BBVS-60,EDAS-24IP
嘉鱼台,HB,JYU,113.8389,29.816,67,100,BBVS-60,EDAS-24IP
利川台,HB,LCH,108.8821,30.3718,1256,100,BBVS-60,EDAS-24IP
南漳台,HB,NZH,111.616,31.3919,393,100,BBVS-120,EDAS-24IP
潜江台,HB,QJI,112.7733,30.4497,-416,100,FSS-3DBH,EDAS-24IP
石首台,HB,SSH,112.6898,29.6463,39,100,BBVS-60,EDAS-24IP
随州台,HB,SZH,113.39,31.63,71,100,BBVS-60,EDAS-24IP
